"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
1207,6/30/2019 0:00:00,604,"LOS ANGELES",698,"LAFCU"
1261,6/30/2019 0:00:00,625,"LANGLEY",610,"Langley Federal Credit Union"
1261,6/30/2019 0:00:00,625,"LANGLEY",611,"Langley FCU"
1368,6/30/2019 0:00:00,678,"PASADENA SERVICE",599,"Vernon Commerce FCU"
1644,6/30/2019 0:00:00,803,"CORNING",223,"Corning Credit Union"
1644,6/30/2019 0:00:00,803,"CORNING",224,"CCU"
1682,6/30/2019 0:00:00,820,"EVANSVILLE TEACHERS",556,"First Liberty Financial Mortgage"
1682,6/30/2019 0:00:00,820,"EVANSVILLE TEACHERS",620,"Liberty Financial"
1717,6/30/2019 0:00:00,834,"HAWAIIAN FINANCIAL",213,"Hawaiian Tel Federal Credit Unio"
1717,6/30/2019 0:00:00,834,"HAWAIIAN FINANCIAL",313,"HiTel FCU"
1717,6/30/2019 0:00:00,834,"HAWAIIAN FINANCIAL",665,"HiFi FCU"
1717,6/30/2019 0:00:00,834,"HAWAIIAN FINANCIAL",666,"Hawaiian Financial FCU"
1718,6/30/2019 0:00:00,835,"HAWAII STATE",325,"HSFCU"
1718,6/30/2019 0:00:00,835,"HAWAII STATE",326,"Hawaii State Federal Credit Unio"
1718,6/30/2019 0:00:00,835,"HAWAII STATE",327,"Hawaii State FCU"
1747,6/30/2019 0:00:00,848,"ARIZONA",405,"Arizona Federal"
1830,6/30/2019 0:00:00,878,"HONOLULU",475,"Honolulu Credit Union (HOCU)"
1845,6/30/2019 0:00:00,883,"ALOHA PACIFIC",108,"APFCU"
1845,6/30/2019 0:00:00,883,"ALOHA PACIFIC",109,"ALOHA PACIFIC FEDERAL CREDIT UNI"
1845,6/30/2019 0:00:00,883,"ALOHA PACIFIC",110,"ALOHA PACIFIC FCU"
2191,6/30/2019 0:00:00,1034,"FIBRE",551,"TLC, A Division of Fibre Federal"
2357,6/30/2019 0:00:00,1104,"HOUSTON POLICE",562,"Houston Police Credit Union"
2414,6/30/2019 0:00:00,1127,"ROBERTS DAIRY EMPLOYEES",303,"Manufactoring"
2535,6/30/2019 0:00:00,1178,"CANTON SCHOOL EMPLOYEES",355,"CSE FCU"
2585,6/30/2019 0:00:00,1204,"RED CROWN",25,"Red Crown Credit Union"
2744,6/30/2019 0:00:00,1277,"U. S. EMPLOYEES O. C.",256,"USE Federal Credit Union"
2818,6/30/2019 0:00:00,1308,"HOLYOKE COMMUNITY",27,"Holyoke Credit Union"
2818,6/30/2019 0:00:00,1308,"HOLYOKE COMMUNITY",605,"Imperial Credit Union"
2876,6/30/2019 0:00:00,1335,"CHICAGO PATROLMEN'S",444,"National Police Credit Union"
2953,6/30/2019 0:00:00,1360,"LANAI",68,"Lanai FCU"
3238,6/30/2019 0:00:00,1479,"DESERT FINANCIAL",650,"Desert Financial Credit Union"
3306,6/30/2019 0:00:00,1503,"ST. JOSEPHS PARISH BUFFALO",470,"SJP Federal Credit Union"
3601,6/30/2019 0:00:00,1631,"NATIONAL INSTITUTES OF HEALTH",452,"NIH Federal Credit Union"
3819,6/30/2019 0:00:00,1719,"UPPER DARBY BELLTELCO",469,"UDBell"
4015,6/30/2019 0:00:00,1797,"GENERATIONS COMMUNITY",484,"GFCU"
4015,6/30/2019 0:00:00,1797,"GENERATIONS COMMUNITY",485,"Generations Federal CU"
4015,6/30/2019 0:00:00,1797,"GENERATIONS COMMUNITY",486,"Generations FCU"
4015,6/30/2019 0:00:00,1797,"GENERATIONS COMMUNITY",589,"Generations"
4024,6/30/2019 0:00:00,1802,"TRUECORE",417,"TrueCore Federal Credit Union"
4043,6/30/2019 0:00:00,1811,"GENERAL ELECTRIC EMPLOYEES",675,"GE Credit Union"
4142,6/30/2019 0:00:00,1849,"KINECTA",258,"Stylized ""O"""
4142,6/30/2019 0:00:00,1849,"KINECTA",259,"Protecting What's Essential"
4142,6/30/2019 0:00:00,1849,"KINECTA",263,"Kinecta Federal Credit Union"
4142,6/30/2019 0:00:00,1849,"KINECTA",264,"Kinecta Express"
4142,6/30/2019 0:00:00,1849,"KINECTA",265,"Kinecta"
4142,6/30/2019 0:00:00,1849,"KINECTA",266,"iKinect"
4142,6/30/2019 0:00:00,1849,"KINECTA",267,"Change for Tomorrow"
4142,6/30/2019 0:00:00,1849,"KINECTA",268,"Apollo Insurance Services"
4142,6/30/2019 0:00:00,1849,"KINECTA",410,"Select Plus Hybrid"
4142,6/30/2019 0:00:00,1849,"KINECTA",411,"Reflections Studio"
4142,6/30/2019 0:00:00,1849,"KINECTA",690,"wealth management"
4142,6/30/2019 0:00:00,1849,"KINECTA",691,"volunteer corps"
4142,6/30/2019 0:00:00,1849,"KINECTA",692,"KInecta Financial & Insurance Se"
