cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"29710","3932","110972","0","First Federal Savings Bank of Washington","Washington","IN","47501","6/30/2019","11/18/2019","SB","439 Indiana 57","","1","0","0","5","0","Daviess","","","1/1/1895","9/30/1936","12/31/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","","62825","62825","55024","0","7801","0","0","0","","18892","10785","43933","5561","7767","30605","52040","8225","54600","58224","53653","3482","0","0","0","",""
"28712","2201","565170","0","First Federal Savings of Middletown","Middletown","NY","10940","6/30/2019","11/18/2019","SA","22 James Street","","1","0","0","4","0","Orange","39100","                                        39100","1/1/1888","4/5/1948","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","87278","87278","87277","0","0","0","0","0","","10547","2215","76730","38638","12900","25193","85062","2216","85062","77843","73574","12053","0","0","0","",""
"23473","11621","106359","1064728","First Fidelity Bank","Oklahoma City","OK","73118","6/30/2019","11/18/2019","SM","5100 N Classen Blvd","FIRST FIDELITY BANCORP, INC.","29","0","1","4","1","Oklahoma","36420","Oklahoma City, OK","7/1/1981","7/1/1981","12/31/2016","Stock","0","1","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","0","FFB.com","1443901","1443901","1362505","0","81116","280","0","0","","238402","193625","1205499","296794","811158","97547","1250276","507109","936792","1424555","1163118","13836","8239","8239","0","",""
"31479","7048","420877","3814655","First Fidelity Bank","Fort Payne","AL","35967","6/30/2019","11/18/2019","NM","1400 Gault Avenue North","FBDC FINANCIAL CORP.","3","0","0","8","0","De Kalb","","","5/3/1965","5/3/1965","7/1/2014","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","90126","90126","82374","0","7752","0","0","0","","37672","6158","52454","4807","16516","31131","83968","6155","83971","84732","80612","7733","0","0","0","",""
"1122","0","80150","1121788","First Fidelity Bank","Burke","SD","57523","6/30/2019","11/18/2019","NM","745 Main Street","FIDELITY CORPORATION","7","0","0","2","1","Gregory","","","1/1/1905","1/1/1934","12/30/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","321802","321802","272247","0","49554","0","0","0","","25570","21015","296231","49373","188044","58814","300786","88997","232805","308519","243346","12561","0","0","0","",""
"28905","2597","48374","2568102","First Financial Bank","El Dorado","AR","71730","6/30/2019","11/18/2019","SM","315 West Main Street","FIRST FINANCIAL BANC CORPORATION","12","0","1","2","1","Union","","","4/1/1934","10/29/1934","10/31/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Shreveport","St. louis","Southern","Western","0","1","https://www.ffb1.com","810062","810062","789193","0","19204","1665","0","0","","232583","90330","577479","80386","59869","437223","719732","82766","727296","672374","686074","45721","52681","52681","937","",""
"19440","0","292234","3340556","First Financial Bank","Bessemer","AL","35020","6/30/2019","11/18/2019","NM","1630 4th Avenue North","FIRSTFED BANCORP, INC. EMPLOYEE STOCK OWNERSHIP PLAN","8","0","0","4","1","Jefferson","13820","Birmingham-Hoover, AL","5/17/1965","5/17/1965","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","149239","149239","124645","1","24593","0","0","0","","95058","52570","54181","2216","29528","22437","96669","52570","96669","148605","123683","5669","0","0","0","",""
"6600","0","165628","1071276","First Financial Bank","Cincinnati","OH","45202","6/30/2019","11/18/2019","SM","255 East Fifth Street","FIRST FINANCIAL BANCORP","161","0","1","4","0","Hamilton","17140","Cincinnati, OH-KY-IN","1/1/1863","1/1/1934","4/1/2018","Stock","0","1","FED","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","0","www.bankatfirst.com","10223593","10223593","8688214","0","1532741","2638","0","0","","2005747","1326154","8217846","4987846","905191","2324809","8897439","2615879","7607714","9172334","8465735","273432","766877","766877","0","",""
"5278","0","840354","1843576","First Financial Bank in Winnebago","Winnebago","MN","56098","6/30/2019","11/18/2019","NM","One Main Street South","KRAUSE FINANCIAL, INC.","1","0","0","2","1","Faribault","","","1/1/1913","1/1/1934","6/27/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","38317","38317","32779","0","5538","0","0","0","","12852","5617","25465","9310","4971","11184","32700","5617","32700","36961","33603","2373","0","0","0","",""
"3066","0","470050","1102312","First Financial Bank, National Association","Abilene","TX","79601","6/30/2019","11/18/2019","N","400 Pine Street","FIRST FINANCIAL BANKSHARES, INC.","77","0","0","4","0","Taylor","10180","Abilene, TX","1/1/1889","1/1/1934","1/1/2018","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","https://www.ffin.com/","6452022","6452022","5361173","0","1051641","39208","0","0","","1068294","697288","5383728","4058306","891911","433511","5754734","2191311","4260711","6331367","4901209","74630","900","0","0","",""
