cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,igltrad,iglrtex,iglfxex,igledex,iglcmex,IGLCREX
"4533","10264","381343","3299195","Citizens Bank and Trust Company","Kansas City","MO","64153","6/30/2019","11/18/2019","NM","7288 Nw 87th Terrace, # 112","YOUNG CORPORATION","21","0","1","4","0","Platte","28140","Kansas City, MO-KS","1/1/1889","1/1/1934","8/4/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.gocitizens.bank","0","","","","",""
"823","13361","991621","3219474","Citizens Bank and Trust Company","Blackstone","VA","23824","6/30/2019","11/18/2019","SM","126 South Main Street","CITIZENS BANCORP OF VIRGINIA, INC.","11","0","0","8","0","Nottoway","","","7/15/1873","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.cbtva.com","0","","","","",""
"22717","10271","255556","1064139","Citizens Bank and Trust Company of Ardmore","Ardmore","OK","73401","6/30/2019","11/18/2019","SM","1100 North Commerce","CITIZENS COMMERCE CORPORATION","4","0","0","4","1","Carter","","","9/18/1978","9/18/1978","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.citizensbt.com","","","","","",""
"10317","13067","715630","1085992","Citizens Bank and Trust Company of Grainger County","Rutledge","TN","37861","6/30/2019","11/18/2019","NM","8335 Rutledge Pike","CITIZENS OF GRAINGER COUNTY CORPORATION","5","0","0","7","0","Grainger","34100","Morristown, TN","11/1/1919","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","","","","","","",""
"8200","11729","874050","1135114","Citizens Bank Minnesota","New Ulm","MN","56073","6/30/2019","11/18/2019","NM","105 North Minnesota Street","CITIZENS BANCORPORATION OF NEW ULM, INC.","4","0","0","2","0","Brown","","","12/13/1875","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","https://www.citizensmn.bank/","0","","","","",""
"19679","0","807656","3435229","Citizens Bank of Ada","Ada","OK","74820","6/30/2019","11/18/2019","NM","123 West 12th Street","CITIZENSADA FINANCIAL CORPORATION","4","0","0","4","1","Pontotoc","","","2/20/1967","2/20/1967","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","","","","","",""
"15477","12677","19936","1976625","Citizens Bank of Americus","Americus","GA","31709","6/30/2019","11/18/2019","NM","119 Lee Street","CBA BANKSHARES, INC.","3","0","0","2","0","Sumter","","","3/1/1937","3/25/1937","1/23/2014","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","","","","","",""
"8908","0","84804","0","Citizens Bank of Cape Vincent","Cape Vincent","NY","13618","6/30/2019","11/18/2019","NM","154 Broadway St","","3","0","0","8","0","Jefferson","48060","Watertown-Fort Drum, NY","1/1/1919","1/1/1934","1/1/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","","","","","","",""
"10843","0","441135","5164626","Citizens Bank of Chatsworth","Chatsworth","IL","60921","6/30/2019","11/18/2019","NM","502 East Locust Street","CBC FINANCIAL, INC.","2","0","0","2","0","Livingston","","","12/7/1903","1/1/1934","7/2/2018","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","","","","","","",""
"35442","0","2921622","3110012","Citizens Bank of Cumberland County, Inc.","Burkesville","KY","42717","6/30/2019","11/18/2019","NM","209 Keen Street","CITIZENS CUMBERLAND BANCSHARES, INC.","1","0","0","8","1","Cumberland","","","7/1/2000","7/1/2000","8/12/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","","","","","",""
