cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"33645","7811","790703","1985131","Lee Bank","Lee","MA","1238","6/30/2019","11/18/2019","SB","75 Park Street","BERKSHIRE FINANCIAL SERVICES, INC.","5","0","0","4","0","Berkshire","38340","Pittsfield, MA","7/1/1992","7/1/1992","7/9/2015","Stock","0","0","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","","321031","5263","24951","26094","28594","54711","13640","55531","21299","32166","38513","16501","1175"
"11582","13526","661223","0","Lee Bank and Trust Company","Pennington Gap","VA","24277","6/30/2019","11/18/2019","NM","41371 West Morgan Avenue","","4","0","0","4","0","Lee","","","8/22/1932","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","https://www.lbtc.com","112607","1003","1234","1803","4282","17773","9624","15035","8662","19679","14280","13359","5544"
"5819","11539","625140","1143810","Lee County Bank","Fort Madison","IA","52627","6/30/2019","11/18/2019","SM","801 Avenue F","LEE CAPITAL CORP.","3","0","0","8","1","Lee","","","9/12/1888","1/1/1934","11/30/2018","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","156530","2477","1876","2878","10033","59464","5293","9376","11248","9251","13986","27306","3293"
"12699","9268","478252","0","Legacy Bank","Wiley","CO","81092","6/30/2019","11/18/2019","NM","220 Main Street","","10","0","0","4","1","Prowers","","","5/25/1907","1/1/1934","10/2/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","","242899","3906","8095","15189","563","0","127","42961","70932","63521","27066","4222","1516"
"4042","14537","320052","1054091","Legacy Bank","Hinton","OK","73047","6/30/2019","11/18/2019","NM","101 West Main","MIDSTATE BANCORP, INC.","11","0","0","4","1","Caddo","","","1/1/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.legacybank.com","317535","12442","9027","4949","1832","14116","8270","105746","25373","16038","27298","49294","40788"
"17676","0","785950","1416448","Legacy Bank","Colwich","KS","67030","6/30/2019","11/18/2019","NM","123 East Chicago","COLWICH FINANCIAL CORPORATION","8","0","0","4","0","Sedgwick","48620","Wichita, KS","2/22/1886","10/4/1956","5/15/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","342211","8789","14274","51874","6426","3925","2571","48824","58265","78202","41033","24954","1076"
"15414","0","767040","1202388","Legacy Bank","Altoona","IA","50009","6/30/2019","11/18/2019","NM","502 8th Street, S.W.","F. S. BANCOR, INC.","4","0","0","4","1","Polk","19780","Des Moines-West Des Moines, IA","1/1/1904","8/20/1936","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","","80788","2053","1362","4837","9331","4962","680","13906","10809","11468","20961","183","104"
"22319","0","397755","1095469","Legacy Bank & Trust Company","Rogersville","MO","65742","6/30/2019","11/18/2019","SM","175 Johnstown Drive","CENTURY BANCSHARES, INC.","7","0","0","4","0","Webster","44180","Springfield, MO","10/17/1907","8/17/1976","2/17/2018","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","","241840","7517","11358","14235","11726","5744","11104","39560","27389","40107","32183","27390","13219"
"58247","0","3444539","0","Legacy Bank of Florida","Boca Raton","FL","33431","6/30/2019","11/18/2019","NM","2300 Glades Rd, # 120/140 W","","5","0","0","4","0","Palm Beach","33100","Miami-Fort Lauderdale-West Palm Beach, FL","5/15/2006","5/15/2006","5/15/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","","384883","48","590","18531","27378","0","0","29118","41864","124478","111941","30935","0"
"57953","0","3306280","5070192","Legacy National Bank","Springdale","AR","72762","6/30/2019","11/18/2019","N","4055 West Sunset","LEGACY BANCSHARES, INC.","6","0","0","4","0","Washington","22220","Fayetteville-Springdale-Rogers, AR-MO","3/28/2005","3/28/2005","10/23/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","","437834","8134","8371","21147","32984","4106","1253","49248","53482","74547","97745","76708","4891"
"57882","0","3340903","0","Legacy State Bank","Loganville","GA","30052","6/30/2019","11/18/2019","NM","3825 Harrison Road","","1","0","0","4","0","Gwinnett","12060","Atlanta-Sandy Springs-Roswell, GA","3/15/2005","3/15/2005","11/8/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","86929","352","524","1987","2252","1245","154","23706","3933","18116","15594","16476","2592"
"58006","17993","878898","4191465","LegacyTexas Bank","Plano","TX","75024","6/30/2019","11/18/2019","SM","5851 Legacy Drive","LEGACYTEXAS FINANCIAL GROUP, INC.","43","0","0","4","0","Collin","19100","Dallas-Fort Worth-Arlington, TX","1/1/2006","1/1/2006","10/31/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.legacytexas.com","8681081","79426","23957","87023","147977","580124","456590","3087096","713304","1788715","1279833","342720","32426"
