cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scage,idscas,scaot,scspn,scfmn,scgnm,sccol,SCCPTG,SCCMOG
"15779","0","574949","3444203","The Farmers & Merchants Bank","Berlin","WI","54923","6/30/2019","11/18/2019","SM","123 W Huron Street","KUJAWA FAMILY HOLDINGS, INC.","2","0","0","4","0","Green Lake","","","12/2/1940","12/2/1940","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","","5370","4600","","","770","","0","0","0"
"1480","9136","70058","1119516","The Farmers & Merchants Bank","Dyer","TN","38330","6/30/2019","11/18/2019","NM","110 South Main Street","DYER F & M BANCSHARES, INC.","4","0","0","7","1","Gibson","27180","Jackson, TN","4/9/1895","1/1/1934","5/6/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","","31634","8092","","","15223","","7660","659","0"
"8640","0","954158","1135039","The Farmers & Merchants Bank of North Dakota","Tolna","ND","58380","6/30/2019","11/18/2019","NM","101 N. Main Street","TOLNA BANCORP, INC.","3","0","0","2","1","Nelson","","","8/1/1917","1/1/1934","3/29/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","19449","1017","","","18432","","0","0","0"
"5969","9553","214414","1134630","The Farmers & Merchants State Bank","Archbold","OH","43502","6/30/2019","11/18/2019","NM","307-11 Defiance Street","FARMERS & MERCHANTS BANCORP, INC.","30","0","1","2","0","Fulton","45780","Toledo, OH","4/1/1897","1/1/1934","1/1/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.fm.bank","135766","90940","","","17585","1769","25472","0","0"
"10280","0","760210","1249909","The Farmers and Merchants Bank","Caldwell","OH","43724","6/30/2019","11/18/2019","NM","430 North Street","FARMMERC, INC.","1","0","0","6","0","Noble","","","1/20/1912","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","8729","8701","","","28","","0","0","0"
"1843","13095","629746","1135507","The Farmers and Merchants Bank","Boswell","IN","47921","6/30/2019","11/18/2019","NM","302 South Old Us Highway 41","FARMERS AND MERCHANTS BANCORP, THE","4","0","0","2","0","Benton","29200","Lafayette-West Lafayette, IN","4/23/1903","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","http://www.fmbank.org","23107","14212","","","8791","104","0","0","0"
"4097","12114","73152","1065211","The Farmers and Merchants National Bank of Fairview","Fairview","OK","73737","6/30/2019","11/18/2019","N","312 North Main","FAIRVIEW BANCSHARES, INC.","1","0","0","2","1","Major","","","1/1/1907","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","38458","2545","","","4556","","31168","189","0"
"3821","14361","513546","2931331","The Farmers and Merchants National Bank of Nashville","Nashville","IL","62263","6/30/2019","11/18/2019","N","120 West St. Louis Street","FARMERS AND MERCHANTS BANCSHARES, INC.","7","0","0","2","1","Washington","","","5/10/1906","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.bankwithfmb.com","25072","498","","","21331","","3243","0","0"
"13999","0","425050","1127856","The Farmers and Merchants State Bank","Scotland","SD","57059","6/30/2019","11/18/2019","NM","550 Main Street","SCOTLAND HOLDING COMPANY","1","0","0","2","0","Bon Homme","","","3/6/1934","3/6/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","7762","222","","","7540","","0","0","0"
"5709","0","11837","1246252","The Farmers Bank","Greensboro","GA","30642","6/30/2019","11/18/2019","NM","202-A South Main Street","PUTNAM-GREENE FINANCIAL CORPORATION","1","0","0","4","0","Greene","","","9/6/1911","1/1/1934","3/14/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","31026","7051","","","21543","","0","2432","0"
"4054","53315","998657","1067907","The Farmers Bank","Carnegie","OK","73015","6/30/2019","11/18/2019","NM","31 West Main Street","FARMERS BANCAPITAL CORPORATION, THE","2","0","0","4","1","Caddo","","","10/27/1905","1/1/1934","7/24/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","0","0","","","0","","0","0","0"
"14894","13393","485214","1071771","The Farmers Bank","Nicholasville","KY","40356","6/30/2019","11/18/2019","NM","200 North Main Street","FARMERS BANCORP OF NICHOLASVILLE, INC.","4","0","0","4","0","Jessamine","30460","Lexington-Fayette, KY","1/1/1934","11/30/1934","1/1/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","27515","15957","","","9582","","1976","0","0"
"1696","10900","901938","1086122","The Farmers Bank","Portland","TN","37148","6/30/2019","11/18/2019","NM","120 Village Drive","FIRST FARMERS BANCSHARES, INC.","11","0","0","4","0","Sumner","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","7/12/1912","1/1/1934","9/29/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","","95161","64","","","52383","","42714","0","0"
"769","10728","58225","1132814","The Farmers Bank and Savings Company","Pomeroy","OH","45769","6/30/2019","11/18/2019","NM","640 East Main Street","FARMERS BANCSHARES, INC.","7","0","1","4","0","Meigs","","","12/4/1904","1/1/1934","1/30/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","21752","20117","","","1635","","0","0","0"
