cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,uc,ucloc,uccrcd,uccomre,uccomres,uccomreu,ucsc,ucother,ucover1,sclent,othoffbs,partconv,partacqu
"30117","4776","743679","3788783","Reliance Savings Bank","Altoona","PA","16601","6/30/2019","11/18/2019","SB","1119 Twelfth Street","RELIANCE BANCORP,MHC","9","0","0","4","0","Blair","11020","Altoona, PA","1/1/1939","11/26/1940","1/1/2017","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","","81957","41951","0","6464","6374","90","","33542","54926","0","0","",""
"9299","12520","466044","1202258","Reliance State Bank","Story City","IA","50248","6/30/2019","11/18/2019","NM","606 Broad Street","AMES NATIONAL CORPORATION","2","0","0","2","0","Story","11180","Ames, IA","1/28/1928","1/1/1934","4/27/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.RSBIowa.com","28766","2858","0","4576","4576","0","0","21332","13389","0","0","",""
"58366","0","3415463","3729562","Reliant Bank","Brentwood","TN","37027","6/30/2019","11/18/2019","SM","1736 Carothers Parkway","RELIANT BANCORP, INC.","22","0","1","4","0","Williamson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","8/14/2006","8/14/2006","1/1/2018","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.reliantbank.com","284104","66142","4534","129318","129318","0","0","84110","118329","0","371454","",""
"19371","11395","49241","2267665","Relyance Bank, National Association","Pine Bluff","AR","71611","6/30/2019","11/18/2019","N","912 South Poplar Street","JEFFERSON BANCSHARES, INC.","20","0","0","4","0","Jefferson","38220","Pine Bluff, AR","2/11/1965","2/11/1965","6/17/2015","Stock","0","1","OCC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","","118448","2208","0","38014","38014","0","","78226","23500","0","34450","",""
"12437","11471","749242","1098844","Renasant Bank","Tupelo","MS","38801","6/30/2019","11/18/2019","NM","209 Troy Street","RENASANT CORPORATION","169","0","1","4","0","Lee","","","2/27/1904","1/1/1934","9/1/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","0","www.renasantbank.com","2178719","479561","0","646845","646845","0","0","1052313","1078308","0","0","",""
"27332","9822","1216321","1398807","Republic Bank","Philadelphia","PA","19102","6/30/2019","11/18/2019","NM","50 S. 16th St., Suite 2400","REPUBLIC FIRST BANCORP, INC.","29","0","1","4","0","Philadelphia","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","9/6/1988","9/6/1988","5/18/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.MyRepublicBank.com","300051","71428","0","114459","114459","0","0","114164","220769","0","100000","",""
"27286","9532","1198605","3488485","Republic Bank & Trust","Norman","OK","73069","6/30/2019","11/18/2019","NM","3510 West Robinson","IRONHORSE FINANCIAL GROUP, INC.","5","0","0","4","0","Cleveland","36420","Oklahoma City, OK","6/30/1988","6/30/1988","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.rbt.com","90428","14022","12240","38402","38402","0","0","25764","43534","0","5700","",""
"23627","9509","316840","1097025","Republic Bank & Trust Company","Louisville","KY","40202","6/30/2019","11/18/2019","NM","601 West Market Street","REPUBLIC BANCORP, INC.","46","0","1","4","0","Jefferson","31140","Louisville-Jefferson County, KY-IN","1/11/1982","1/11/1982","5/18/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","0","http://www.republicbank.com","1535874","383770","79952","242333","242333","0","0","829819","657604","0","10000","",""
"58271","0","3596894","0","Republic Bank of Arizona","Phoenix","AZ","85012","6/30/2019","11/18/2019","NM","645 E. Missouri Avenue","","1","0","0","4","0","Maricopa","38060","Phoenix-Mesa-Scottsdale, AZ","4/30/2007","4/30/2007","9/13/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","","11491","2000","0","4561","4561","0","","4930","41","0","0","",""
"19333","12444","671334","1201194","Republic Bank of Chicago","Oak Brook","IL","60523","6/30/2019","11/18/2019","NM","2221 Camden Court","REPUBLIC BANCORP CO.","19","0","0","4","0","Du Page","16980","Chicago-Naperville-Elgin, IL-IN-WI","12/1/1964","12/1/1964","10/18/2017","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","WWW.REPUBLICEBANK.COM","477836","30078","301","230995","230995","0","0","216462","206089","0","0","",""
"22618","11358","316354","2665739","Republic Bank, Inc.","Duluth","MN","55811","6/30/2019","11/18/2019","NM","4929 Decker Road","NATCOM BANCSHARES,INC.","6","0","0","4","0","Saint Louis","20260","Duluth, MN-WI","3/1/1978","3/1/1978","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","65838","10860","601","19962","19962","0","","34415","47836","0","4700","",""
"58317","18042","3461264","4582465","Resolute Bank","Maumee","OH","43537","6/30/2019","11/18/2019","SA","3425 Briarfield Blvd Suite 1","PRINCETON CAPITAL HOLDINGS LLC","1","0","0","4","0","Lucas","45780","Toledo, OH","10/2/2006","10/2/2006","10/24/2019","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","5309","3603","0","0","0","0","","1706","0","0","0","",""
"34803","0","2716088","3136405","Resource Bank","Covington","LA","70433","6/30/2019","11/18/2019","NM","70533 Highway 21","RESOURCE BANKSHARES, INC.","11","0","0","4","0","Saint Tammany","35380","New Orleans-Metairie, LA","7/20/1998","7/20/1998","3/21/2016","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","129974","19379","0","87230","87230","0","","23365","67022","0","0","",""
"3701","9929","235530","1207945","Resource Bank, National Association","Dekalb","IL","60115","6/30/2019","11/18/2019","N","555 Bethany Road","RESOURCE BANCSHARES, INC.","12","0","0","4","1","De Kalb","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/1/1901","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","89345","13573","0","38168","38168","0","","37604","26752","0","0","",""
"58640","0","3610567","0","Revere Bank","Rockville","MD","20850","6/30/2019","11/18/2019","NM","2101 Gaither Rd., 6th Fl.","","11","0","0","4","0","Montgomery","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11/20/2007","11/20/2007","10/23/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","reverebank.com","706323","101902","0","156125","156125","0","0","448296","205374","0","0","",""
"10080","0","934646","0","Reynolds State Bank","Reynolds","IL","61279","6/30/2019","11/18/2019","NM","227 W Main St","","1","0","0","2","0","Rock Island","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1888","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","1756","0","0","0","0","0","","1756","1756","0","0","",""
"16032","12039","195111","3271230","Rhinebeck Bank","Rhinebeck","NY","12572","6/30/2019","11/18/2019","SB","6414 Montgomery Street","RHINEBECK BANCORP, MHC","15","0","0","4","0","Dutchess","39100","                                        39100","4/12/1860","7/1/1943","3/22/2012","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","","77216","9716","0","12794","12794","0","","54706","12861","0","0","",""
"15092","0","331544","2737971","Richland County Bank","Richland Center","WI","53581","6/30/2019","11/18/2019","NM","195 West Court Street","RICHLAND COUNTY BANCSHARES, INC.","1","0","0","8","1","Richland","","","1/1/1881","4/12/1935","9/18/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","","10338","3461","0","2500","2500","0","","4377","3461","0","0","",""
