cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"22451","12980","774132","1080803","Volunteer State Bank","Portland","TN","37148","6/30/2019","11/18/2019","NM","101 Highway 52 West","VOLUNTEER STATE BANCSHARES, INC.","12","0","0","4","1","Sumner","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","4/15/1977","4/15/1977","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.volstatebank.com","610826","1938","612764","0","612764","535918","535918","104893","207059","110282","96777","8885","210063","5018","","759","70521","0","4995","0","132","1310","3553","571","","452","119","0","0","0","0","1803","1681","45144","59749","1938",""
"30618","5641","322476","0","Wabash Savings Bank","Mount Carmel","IL","62863","6/30/2019","11/18/2019","SB","400 Chestnut Street","","1","0","0","8","0","Wabash","","","1/1/1890","9/14/1953","3/31/2006","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","","4190","38","4228","0","4228","3479","3479","0","269","269","0","0","2754","456","","0","149","","599","0","0","170","429","1","","0","1","0","0","0","","0","0","0","0","38",""
"13430","10759","210256","1123719","Wadena State Bank","Wadena","MN","56482","6/30/2019","11/18/2019","SM","304 1st Street, Southeast","WADENA BANKSHARES, INC.","4","0","0","4","1","Wadena","","","1/1/1917","1/3/1934","5/13/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","110799","1114","111913","0","111913","79593","79593","2792","26685","13237","13448","2300","28986","18830","","5717","20552","","5103","0","0","2741","2362","948","","0","216","732","0","0","","2490","2490","1813","979","1114",""
"1163","12451","662350","2566247","Wahoo State Bank","Wahoo","NE","68066","6/30/2019","11/18/2019","SM","164 East 5th Street","HOHL FINANCIAL, INC.","2","0","0","2","1","Saunders","36540","Omaha-Council Bluffs, NE-IA","1/2/1932","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","","51319","784","52103","0","52103","32030","32030","1639","3349","3270","79","217","19863","6962","","6430","9706","","3905","0","28","1470","2407","32","","32","0","0","0","0","","1003","1003","1639","0","784",""
"27704","143","900379","3837467","Wake Forest Federal Savings and Loan Association","Wake Forest","NC","27587","6/30/2019","11/18/2019","SA","302 South Brooks Street","WAKE FOREST BANCORP, M.H.C.","1","0","0","4","0","Wake","39580","Raleigh, NC","1/1/1922","1/25/1956","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","","65701","1434","67135","0","67135","67059","67059","20407","9715","7366","2349","694","36243","0","","0","0","","76","0","0","0","76","0","","0","0","0","0","0","","0","0","14246","6161","771",""
"26516","0","330873","0","Wakefield Co-operative Bank","Wakefield","MA","1880","6/30/2019","11/18/2019","SB","342 Main Street","","2","0","0","5","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1887","1/22/1986","6/1/2018","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","http://www.wakefieldcoop.com","189382","1513","190895","0","190895","190356","190356","16832","22366","3777","18589","9557","141601","0","","0","515","","21","0","9","7","5","3","","0","3","0","0","0","","0","0","15628","1204","1513",""
"12716","0","495044","0","Walcott Trust and Savings Bank","Walcott","IA","52773","6/30/2019","11/18/2019","NM","101 West Bryant Street","","2","0","0","2","0","Scott","19340","Davenport-Moline-Rock Island, IA-IL","5/15/1931","1/1/1934","10/1/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","91401","1033","92434","0","92434","76442","76442","4926","29587","16183","13404","2797","19413","19719","","6639","8602","","625","0","0","526","99","126","","0","126","0","0","0","","0","0","1987","2939","1033",""
"15987","18043","341310","0","Walden Savings Bank","Montgomery","NY","12549","6/30/2019","11/18/2019","SA","15 Scotts Corners Drive","","11","0","0","4","0","Orange","39100","                                        39100","4/1/1872","7/1/1943","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","440671","4225","444896","0","444896","396525","396525","24951","131263","84652","46611","12075","226665","1571","","0","45304","","2972","0","138","2047","787","95","","0","95","0","0","0","","10763","985","16392","8559","4225",""
"8700","0","131940","0","Waldo State Bank","Waldo","WI","53093","6/30/2019","11/18/2019","NM","119 N Depot St","","1","0","0","4","0","Sheboygan","43100","Sheboygan, WI","1/1/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","","62440","976","63416","0","63416","52340","52340","7507","7179","5033","2146","1634","35485","535","","727","8421","","1581","0","83","1153","345","347","","341","6","0","0","0","","772","351","7268","239","752",""
"16432","0","617341","1203910","Walker State Bank","Walker","IA","52352","6/30/2019","11/18/2019","NM","116 Greene Street","COUNTRY BANCORPORATION","1","0","0","2","0","Linn","16300","Cedar Rapids, IA","5/20/1946","5/20/1946","8/7/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","25045","311","25356","0","25356","17672","17672","455","3425","368","3057","0","5234","8558","","5224","1672","","752","0","7","510","235","35","","21","14","0","0","0","","0","0","246","209","311",""
