cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"803","0","645625","1070448","WesBanco Bank, Inc.","Wheeling","WV","26003","6/30/2019","11/18/2019","NM","One Bank Plaza","WESBANCO, INC.","203","0","1","4","0","Ohio","48540","Wheeling, WV-OH","1/20/1870","1/1/1934","8/20/2018","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Cleveland","Northeastern","Northeast","0","0","http://www.wesbanco.com","727096","334651","223306","416267","326115","96059","300908","90082","114239","75234","21353"
"16175","10132","501132","1085255","West Alabama Bank & Trust","Reform","AL","35481","6/30/2019","11/18/2019","NM","509 First Avenue West","WEST ALABAMA CAPITAL CORP.","14","0","0","4","0","Pickens","46220","Tuscaloosa, AL","7/29/1944","7/29/1944","2/24/2011","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","85708","85157","16571","38668","71343","44282","56908","3987","10753","26249","15919"
"15614","9432","139740","1210066","West Bank","West Des Moines","IA","50266","6/30/2019","11/18/2019","NM","1601 22nd Street","WEST BANCORPORATION, INC.","14","0","1","4","0","Polk","19780","Des Moines-West Des Moines, IA","1/1/1893","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","WWW.WESTBANKSTRONG.COM","41076","128340","27375","109542","25538","6961","124204","69115","51076","2847","1166"
"10853","0","920733","1129944","West Central Bank","Ashland","IL","62612","6/30/2019","11/18/2019","NM","400 E Buchanan","WEST CENTRAL BANCSHARES, INC.","6","0","0","4","1","Cass","","","6/12/1933","1/1/1934","10/2/2009","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","27072","21058","10157","15653","20243","2077","17631","5599","3797","7983","252"
"21526","12065","280138","1083998","West Central Georgia Bank","Thomaston","GA","30286","6/30/2019","11/18/2019","NM","617 North Church Street","WCG BANCSHARES, INC.","3","0","0","7","0","Upson","","","4/15/1974","4/15/1974","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","10722","7681","4615","9496","3426","866","1316","521","532","263","0"
"28807","2400","577472","3866702","West End Bank, S.B.","Richmond","IN","47374","6/30/2019","11/18/2019","SB","34 S 7th Street","WEST END INDIANA BANCSHARES, INC.","5","0","0","4","0","Wayne","","","1/1/1893","11/11/1936","9/28/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","44938","44119","16038","43367","27322","2330","18448","8494","4543","5411","0"
"19850","13851","207050","1061736","West Gate Bank","Lincoln","NE","68516","6/30/2019","11/18/2019","NM","6003 Old Cheney Rd, # 100","WEST GATE BANSHARES, INC.","10","0","0","4","0","Lancaster","30700","Lincoln, NE","9/3/1968","9/3/1968","7/20/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","","22646","66507","47459","24666","12855","4173","13819","0","6208","4603","3007"
"9105","15822","137643","1916760","West Iowa Bank","West Bend","IA","50597","6/30/2019","11/18/2019","NM","319 S Broadway Ave","WEST BEND BANCORP.","5","0","0","2","0","Palo Alto","","","1/1/1926","1/1/1934","6/20/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","","13158","5974","2733","10457","5718","224","3631","1438","2193","0","0"
"22308","9915","715340","0","West Michigan Community Bank","Hudsonville","MI","49426","6/30/2019","11/18/2019","SM","3467 Kelly Street","","8","0","0","4","0","Ottawa","24340","Grand Rapids-Wyoming, MI","7/21/1976","7/21/1976","10/19/2018","Stock","0","1","FED","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","","36639","18018","12190","17910","17992","6566","39788","7881","22127","9277","503"
"5369","53614","967952","1051429","West Plains Bank","Ainsworth","NE","69210","6/30/2019","11/18/2019","SM","200 North Main Street","COMMERCIAL INVESTMENT CO., INC.","2","0","0","2","0","Brown","","","10/1/1913","1/1/1934","12/20/2010","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","","17355","8818","4205","9756","11790","422","4704","1108","2815","781","0"
