cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"14178","0","552956","1141263","Silex Banking Company","Silex","MO","63377","6/30/2019","11/18/2019","NM","20 S 2nd St","SILEX BANCSHARES, INC.","1","0","0","2","0","Lincoln","41180","St. Louis, MO-IL","3/24/1934","3/30/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","","2075","324","538","1213","2325","823","247","1255","11450","1505","5283","4662","2602","1392","530","680","46","5","3","38","43","38","1","4","93","37","41","15","70","60","7","3"
"24735","0","802866","1031449","Silicon Valley Bank","Santa Clara","CA","95054","6/30/2019","11/18/2019","SM","3003 Tasman Drive","SVB FINANCIAL GROUP","6","0","1","9","0","Santa Clara","41940","San Jose-Sunnyvale-Santa Clara, CA","10/17/1983","10/17/1983","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","0","www.svb.com","1574","0","0","1574","221803","42427","38716","140660","1689","80","489","1120","0","0","0","0","3","0","0","3","5482","4297","657","528","8","3","2","3","0","0","0","0"
"15323","10532","326054","3015582","Silver Lake Bank","Topeka","KS","66608","6/30/2019","11/18/2019","NM","201 Nw U.S. Highway 24","GIDEON MANAGEMENT L.L.C.","5","0","0","4","0","Shawnee","45820","Topeka, KS","1/1/1909","12/16/1935","10/2/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","11046","669","1616","8761","12903","2819","3272","6812","6915","1658","2966","2291","4755","1804","1056","1895","55","16","12","27","176","110","35","31","63","32","24","7","89","69","13","7"
"27330","14732","1216826","3695667","Silvergate Bank","La Jolla","CA","92037","6/30/2019","11/18/2019","SM","4250 Executive Sq Suite 300","SILVERGATE CAPITAL CORPORATION","3","0","0","9","0","San Diego","41740","San Diego-Carlsbad, CA","8/26/1988","8/26/1988","2/21/2017","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.silvergatebank.com","17020","30","350","16640","1194","38","105","1051","0","0","0","0","0","0","0","0","29","1","2","26","10","4","3","3","0","0","0","0","0","0","0","0"
"17587","0","844138","0","Simmesport State Bank","Simmesport","LA","71369","6/30/2019","11/18/2019","NM","Highway 1 And Laurel Street","","1","0","0","6","0","Avoyelles","","","5/1/1956","5/1/1956","6/4/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.simmesportstatebank.net","6002","3601","1447","954","3381","1491","1483","407","1492","77","669","746","2747","662","899","1186","162","116","35","11","78","58","16","4","8","2","4","2","35","22","9","4"
"3890","11473","663245","1094828","Simmons Bank","Pine Bluff","AR","71611","6/30/2019","11/18/2019","SM","501 Main Street","SIMMONS FIRST NATIONAL CORPORATION","220","0","1","4","0","Jefferson","38220","Pine Bluff, AR","3/23/1903","1/1/1934","4/13/2019","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","0","http://www.simmonsbank.com","648484","20153","98364","529967","480632","108342","88740","283550","113381","20299","46106","46976","48723","16466","15976","16281","2879","612","840","1427","7483","5334","1043","1106","1100","539","379","182","1051","802","164","85"
"10693","15815","724230","0","Simply Bank","Spring City","TN","37381","6/30/2019","11/18/2019","NM","369 Front Street","","6","0","0","4","1","Rhea","","","1/1/1890","1/1/1934","10/6/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","","42446","1608","7082","33756","17382","4342","3838","9202","1793","86","1207","500","458","157","64","237","177","35","54","88","305","237","40","28","14","2","10","2","7","5","1","1"
"23270","0","472951","2313058","Siouxland Bank","South Sioux City","NE","68776","6/30/2019","11/18/2019","SM","1001 West 29th Street","SIOUXLAND NATIONAL CORPORATION","2","0","0","8","0","Dakota","43580","Sioux City, IA-NE-SD","12/1/1980","12/1/1980","6/19/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","","2350","344","1430","576","4842","1230","1324","2288","2521","122","850","1549","2526","591","1153","782","23","9","12","2","88","59","18","11","16","2","7","7","40","24","10","6"
"4766","0","412555","2796857","SJN Bank of Kansas","Saint John","KS","67576","6/30/2019","11/18/2019","NM","116 E 3rd Avenue","SJN BANC CO","6","0","0","2","0","Stafford","","","1/1/1905","1/1/1934","4/16/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.sjnbank.com","4965","1668","1405","1892","12006","6289","4043","1674","14588","1590","4706","8292","28723","12108","8885","7730","70","51","12","7","328","288","33","7","106","42","37","27","592","500","67","25"
"19532","10566","401906","0","Skowhegan Savings Bank","Skowhegan","ME","4976","6/30/2019","11/18/2019","SB","13 Elm Street","","12","0","0","4","0","Somerset","","","10/2/1869","1/1/1966","1/1/2016","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","","33531","3074","8550","21907","14877","2987","2892","8998","371","0","165","206","0","0","0","0","245","98","84","63","205","143","36","26","2","0","1","1","0","0","0","0"
