cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","6/30/2019","11/18/2019","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","1.66037338035728","2.82034678753867","0","2.88917197452229","11.8881118881119","2.88438805264402","0","4.19917393299679","0.339850590075948","0.140449438202247","","0.140449438202247","1.26582278481013","0","","4.55988455988456"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","6/30/2019","11/18/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","2","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","2.83243243243243","4.86807878112226","","0","","6.55491618714036","","6.55491618714036","0","0","","0","0","0","","0"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","6/30/2019","11/18/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","0.467283885661697","0.567046691629482","0","0.933826772257483","0","0.4988012334254","0","0.530848940013309","0.148986889153754","0.370183409052667","0.978067575577949","0.292319957480733","0.507832057792719","4.85436893203883E-02","","0"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","6/30/2019","11/18/2019","NM","44 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/16/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","0.758618725254693","1.07098750851999","0","1.98935462408516","0","0.179442168909694","0","0.185285884035204","0.014951594213733","0","","0","0","0","","0"
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","6/30/2019","11/18/2019","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","0.267526230620661","0.393685666000922","0","0.196056253063379","0","1.04522475748053","0","1.40922906880354","0","0","","0","0","0","","0"
"9751","0","340256","3304352","21st Century Bank","Loretto","MN","55357","6/30/2019","11/18/2019","NM","699 North Medina Street","DOLPHIN FAMILY MANAGEMENT CO.","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","0.465018466053416","0.273617122244682","1.3603452058802","0.371043271322194","0","0","0","0","1.19635095979717","0","","0","0","0","","85.7215447154472"
"16910","0","449430","3438051","22nd State Bank","Louisville","AL","36048","6/30/2019","11/18/2019","NM","1920 Main Street","FEB BANCSHARES, INC.","5","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","10/1/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","2.4120551850532","2.9289569392853","0","7.27103845439346","0","0.820529321856649","1.5300117693213","0.768478010591757","0.692492974708952","6.96864111498258E-02","","6.96864111498258E-02","0","7.47384155455904E-02","","0"
"91005","0","455253","4754758","5Star Bank","Colorado Springs","CO","80914","6/30/2019","11/18/2019","NM","Peterson Air Force Base, 455","LITTLE LONDON BANCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","0.147925141544568","0.158424145703619","0","0.272397700642939","0","0","0","0","6.53523581309226E-02","0","","0","0","0","","0"
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","6/30/2019","11/18/2019","NM","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","2.93944738389183E-02","4.16522656173841E-02","0","1.52485513876182E-02","0","9.24043614858621E-02","0","0.116750824552698","0","0","","0","0","0","","0"
"32257","8059","762773","0","Abacus Federal Savings Bank","New York","NY","10013","6/30/2019","11/18/2019","SA","6 Bowery","","6","0","1","5","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","8.00836506953989E-02","8.01211964298835E-02","","0","0","0.110720553892867","0","0.113684315039591","0","0","0","0","","0","","0"
