cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"58088","0","3386536","4975049","SouthPoint Bank","Birmingham","AL","35243","6/30/2019","11/18/2019","NM","3501 Grandview Parkway","SOUTHPOINT BANCSHARES, INC.","4","0","0","4","0","Jefferson","13820","Birmingham-Hoover, AL","10/11/2005","10/11/2005","1/29/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://www.southpoint.bank","9344","2475","6869","120","2878","0","225","0","2653","6613","4085","436","2092","3014","-3","655","2356","0","2356","0","2356","1","0","0","2358.37"
"18297","11033","361167","1245068","Southside Bank","Tyler","TX","75701","6/30/2019","11/18/2019","NM","1201 South Beckham Street","SOUTHSIDE BANCSHARES, INC.","64","0","0","4","0","Smith","46340","Tyler, TX","10/3/1960","10/3/1960","11/30/2017","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","www.southside.com","119656","31187","88469","1588","19726","3061","12638","0","4027","57467","35552","6685","15230","49140","835","7932","42043","0","42043","0","42043","3902","25000","1232","41341.6"
"12299","15923","171768","1107184","SouthStar Bank, S.S.B.","Moulton","TX","77975","6/30/2019","11/18/2019","SB","100 South Main Street","SOUTHERN BANCSHARES, INC.","15","0","0","4","0","Lavaca","","","11/6/1920","1/1/1934","10/23/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.southstarbank.com","18648","3094","15554","110","1772","0","476","0","1296","12303","6797","1970","3536","4913","134","1023","4024","0","4024","0","4024","-485","800","0","3916.8"
"13919","0","521158","1105685","SouthTrust Bank, N.A.","George West","TX","78022","6/30/2019","11/18/2019","N","601 Guadalupe Street","LIVE OAK BANCSHARES CORPORATION","7","0","0","4","1","Live Oak","","","2/17/1934","2/20/1934","10/10/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","6897","640","6257","0","851","0","343","","508","5705","4085","680","940","1403","0","0","1403","0","1403","0","1403","-37","502","0","1403"
"16652","0","561864","4415929","Southwest Bank","Odessa","TX","79768","6/30/2019","11/18/2019","NM","4800 East 42nd Street","ODESSA SOUTHWEST BANCSHARES, INC.","8","0","0","4","1","Ector","36220","Odessa, TX","12/15/1947","12/15/1957","7/1/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","","11270","216","11054","760","2577","756","483","","1338","8995","5879","838","2278","3876","0","0","3876","0","3780","96","3876","-59","2858","0","3876"
"4076","14733","1014059","2912312","Southwest Bank of Weatherford","Weatherford","OK","73096","6/30/2019","11/18/2019","SM","720 East Main","SOUTHWEST CAPITAL, L.L.C.","2","0","0","4","0","Custer","","","6/4/1907","1/1/1934","5/18/2017","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.swnbank.com","1532","154","1378","0","191","0","69","0","122","1065","697","56","312","504","-18","111","375","0","375","0","375","-30","600","0","389.22"
"12258","13318","206156","1060168","Southwest Capital Bank","Albuquerque","NM","87104","6/30/2019","11/18/2019","NM","1410 Central Avenue Sw","LAS VEGAS BANCORPORATION, INC.","6","0","0","4","1","Bernalillo","10740","Albuquerque, NM","12/1/1890","1/1/1934","2/26/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Albuquerque","Kansas City","Western","West","0","1","","9105","729","8376","2675","-1136","0","848","","-1984","6362","2808","985","2569","-1797","0","0","-1797","0","-1797","0","-1797","627","1275","0","-1797"
"2147","9572","699534","1081538","Southwest Georgia Bank","Moultrie","GA","31768","6/30/2019","11/18/2019","NM","201 First Street S. E.","SOUTHWEST GEORGIA FINANCIAL CORPORATION","8","0","0","4","0","Colquitt","","","1/3/1928","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.sgb.bank","12082","2285","9797","366","2544","112","468","0","1964","8830","5081","1252","2497","3145","0","541","2604","0","2604","0","2604","330","1315","0","2604"
"22876","10471","760854","1063552","Southwest Missouri Bank","Carthage","MO","64836","6/30/2019","11/18/2019","NM","300 West Third Street","SOUTHWEST MISSOURI BANCORPORATION, INC.","11","0","0","8","0","Jasper","27900","Joplin, MO","6/11/1979","6/11/1979","7/1/2008","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","0","1","","15004","1795","13209","250","4241","358","1318","","2565","13088","7260","1569","4259","4112","-103","750","3259","0","3259","0","3259","187","1955","0","3342.43"
"4801","52229","499855","1131451","Southwest National Bank","Wichita","KS","67202","6/30/2019","11/18/2019","N","400 East Douglas Avenue","REPUBLIC FINANCIAL CORPORATION","9","0","0","4","1","Sedgwick","48620","Wichita, KS","1/1/1915","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","10687","2758","7929","425","1723","436","627","","660","6557","3812","461","2284","2670","13","106","2577","0","2577","0","2577","276","1961","0","2564.52"
"34319","0","2625724","3234682","Southwestern National Bank","Houston","TX","77036","6/30/2019","11/18/2019","N","6901 Corporate Drive","SWNB BANCORP, INC.","7","0","1","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","11/3/1997","11/3/1997","7/11/2018","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","10160","2816","7344","0","1457","0","353","","1104","5904","3971","515","1418","2897","0","525","2372","0","2372","0","2372","-46","250","0","2372"
"4735","0","276159","2411628","Southwind Bank","Natoma","KS","67651","6/30/2019","11/18/2019","NM","702 North Second Street","REPUBLIC BANCSHARES, INC.","2","0","0","2","0","Osborne","","","1/1/1909","1/1/1934","3/31/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","2345","302","2043","60","125","27","60","","38","1265","692","135","438","843","1","139","705","0","705","0","705","7","250","0","704.16"
"26708","0","426057","3391679","Spectra Bank","Fort Worth","TX","76118","6/30/2019","11/18/2019","NM","2000 Handly Ederville Road","RIVERBEND FINANCIAL CORPORATION","2","0","0","4","1","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","6/30/1986","6/30/1986","9/15/2017","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","1639","289","1350","32","687","0","296","","391","2104","1155","351","598","-99","0","0","-99","0","-99","0","-99","0","201","1006","-99"
"5786","13790","871648","0","Spencer County Bank","Santa Claus","IN","47579","6/30/2019","11/18/2019","NM","55 North L J Koch Blvd.","","5","0","0","5","0","Spencer","","","8/19/1927","1/1/1934","9/15/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","","2160","413","1747","0","345","1","67","","277","1533","833","248","452","559","0","117","442","0","442","0","442","27","0","0","442"
"30076","4693","845573","0","Spencer Savings Bank, SLA","Elmwood Park","NJ","7407","6/30/2019","11/18/2019","SA","River Dr Ctr 3-611 River Dr","","22","0","0","4","0","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","9/19/1939","9/19/1939","3/26/2018","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.spencersavings.com","56136","19407","36729","3000","2027","0","379","0","1648","25796","16616","3435","5745","9960","400","2309","8051","0","8051","0","8051","229","0","0","7735"
"22327","16060","260868","3818390","Spirit of Texas Bank, SSB","College Station","TX","77840","6/30/2019","11/18/2019","SB","625 University Drive","SPIRIT OF TEXAS BANCSHARES, INC.","26","0","0","4","0","Brazos","17780","College Station-Bryan, TX","9/7/1976","9/7/1976","4/3/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","0","http://www.sotb.com","43182","7695","35487","1182","4746","0","958","0","3788","26894","15680","2763","8451","12157","2134","2779","11512","0","11512","0","11512","1201","0","0","9783.46"
"4048","11433","142955","1062135","SpiritBank","Tulsa","OK","74135","6/30/2019","11/18/2019","NM","4815 S. Harvard, Suite 100","SPIRIT BANKCORP, INC.","6","0","0","4","0","Tulsa","46140","Tulsa, OK","5/5/1916","1/1/1934","5/18/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","14078","4282","9796","-1640","2181","9","470","","1702","12080","5759","1505","4816","1537","0","391","1146","0","1146","0","1146","-117","0","0","1146"
"16908","0","397858","1063271","Spiro State Bank","Spiro","OK","74959","6/30/2019","11/18/2019","NM","1008 West Broadway","SPIRO BANCSHARES, INC.","2","0","0","7","0","Le Flore","","","5/15/1950","5/15/1950","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","865","87","778","-1","222","0","144","","78","874","542","143","189","127","0","11","116","0","116","0","116","-1","0","0","116"
"30987","6218","746979","0","Spratt Savings Bank","Chester","SC","29706","6/30/2019","11/18/2019","SA","121 Saluda St","","2","0","0","7","0","Chester","16740","Charlotte-Concord-Gastonia, NC-SC","1/1/1893","4/14/1958","9/2/2019","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.sprattsavingsbank.com","2044","416","1628","0","95","0","25","0","70","1262","713","73","476","461","-91","79","291","0","291","0","291","0","0","0","362.89"
