cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eqcprev,eqcrest,netinc,eqcstkrx,eqctrstx,eqcmrg,eqcdivp,eqcdivc,eqccompi,eqcbhctr,eq
"18568","0","958231","1417436","Community Bank of Easton","Easton","IL","62633","6/30/2019","11/18/2019","NM","Second And Main Streets","EASTON BANCSHARES, INC.","1","0","0","2","0","Mason","","","8/1/1962","8/1/1962","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","6812","0","524","0","0","0","0","20","0","0","7316"
"23551","0","766052","0","Community Bank of El Dorado Springs","El Dorado Spring","MO","64744","6/30/2019","11/18/2019","NM","Highway 54 And Main Street","","1","0","0","2","1","Cedar","","","10/1/1981","10/1/1981","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","0","1","","16926","0","916","0","0","0","0","660","721","0","17903"
"33805","0","2044820","2066390","Community Bank of Elmhurst","Elmhurst","IL","60126","6/30/2019","11/18/2019","SM","330 West Butterfield Road","COMMUNITY BANCSHARES OF ELMHURST, INC.","3","0","0","4","1","Du Page","16980","Chicago-Naperville-Elgin, IL-IN-WI","5/24/1993","5/24/1993","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","13266","0","731","0","0","0","0","283","1482","0","15196"
"57579","0","3213333","3213324","Community Bank of Georgia","Baxley","GA","31513","6/30/2019","11/18/2019","NM","700 West Parker Street","COMMUNITY BANK OF GEORGIA, INC.","1","0","0","2","0","Appling","","","5/11/2004","5/11/2004","3/31/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","0","1","","11285","0","756","0","0","0","0","0","70","0","12112"
"13951","13021","974754","1106365","Community Bank of Louisiana","Mansfield","LA","71052","6/30/2019","11/18/2019","NM","118 Jefferson","MANSFIELD BANCSHARES, INC.","10","0","0","4","1","De Soto","43340","Shreveport-Bossier City, LA","10/1/1901","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","","37654","0","4177","0","0","0","0","3450","8819","0","47200"
"22636","0","706656","2647360","Community Bank of Marshall","Marshall","MO","65340","6/30/2019","11/18/2019","NM","811 W. College St.","MARSHALL COMMUNITY BANCSHARES, INC.","7","0","0","2","0","Saline","","","5/1/1978","5/1/1978","1/10/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","","16962","0","798","0","0","0","0","777","1284","0","18267"
"35094","0","2724766","1097995","Community Bank of Memphis","Memphis","MO","63555","6/30/2019","11/18/2019","NM","112 East Madison","CLARK COUNTY BANCSHARES, INC.","1","0","0","2","0","Scotland","","","3/20/1999","3/20/1999","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","","6076","0","235","0","0","0","0","117","149","0","6343"
"8879","10896","460033","2313544","Community Bank of Mississippi","Forest","MS","39074","6/30/2019","11/18/2019","NM","323 East Third Street","COMMUNITY BANCSHARES OF MISSISSIPPI, INC. EMPLOYEE STOCK OWNERSHIP PLAN","50","0","1","4","0","Scott","","","8/14/1905","1/1/1934","1/1/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","0","www.communitybank.net","275714","0","14201","161","0","0","0","10000","8642","0","288718"
"57141","0","3005097","3005248","Community Bank of Missouri","Richmond","MO","64085","6/30/2019","11/18/2019","NM","904 Walton Way","MISSOURI BANCORP, INC.","2","0","0","2","0","Ray","28140","Kansas City, MO-KS","5/7/2001","5/7/2001","8/12/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","7162","0","401","0","0","0","0","150","51","0","7464"
"34857","0","2702764","1204887","Community Bank of Oelwein","Oelwein","IA","50662","6/30/2019","11/18/2019","NM","150 1st Street, S.E.","FIRST BELMOND BANCORPORATION","1","0","0","2","0","Fayette","","","10/1/1998","10/1/1998","9/24/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","12168","0","563","0","0","0","0","0","1035","0","13767"
