cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"28288","1305","229173","3799369","Auburn Savings Bank, FSB","Auburn","ME","4210","6/30/2019","11/18/2019","SA","256 Court St","AUBURN BANCORP, MHC","2","0","0","5","0","Androscoggin","30340","Lewiston-Auburn, ME","1/1/1887","1/17/1951","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.auburnsavings.com","-5.76510096133059E-02","-4.32646249884113E-02","0","0","-0.128068439774215","-4.75225598502089E-02","0","-5.20840906323942E-02","0","-2.97272524586915","","-2.97272524586915","0","-10.5568751649512","0"
"11477","0","979151","0","Auburn State Bank","Auburn","NE","68305","6/30/2019","11/18/2019","SM","1212 J Street","","1","0","0","2","0","Nemaha","","","1/1/1905","1/1/1934","10/16/2015","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","","2.76091605814351E-02","3.85823122283263E-02","0","0","0","0.137192481623353","0","0.1436925267313","0","0","","0","0","0","0"
"35","9177","749635","1129533","AuburnBank","Auburn","AL","36830","6/30/2019","11/18/2019","SM","100 North Gay Street","AUBURN NATIONAL BANCORPORATION, INC.","8","0","0","4","0","Lee","12220","Auburn-Opelika, AL","1/3/1907","1/1/1934","12/31/2015","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","-2.56063849059008E-02","-2.37023391662016E-02","0","-9.66907587807295E-04","0","-0.089280515497933","0","-9.57057256990679E-02","-0.100235281440832","0.222816399286988","","0.222816399286988","-0.457432128507933","0.339233827353467","0"
"5814","0","760649","5085664","Audubon State Bank","Audubon","IA","50025","6/30/2019","11/18/2019","NM","315 Broadway","AUDUBON COUNTY INVESTMENT COMPANY","2","0","0","2","1","Audubon","","","1/1/1876","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.audubonstatebank.com","0.108689355279743","0","0","0","0","0","0","0","1.13266317428855","0.561903504311205","","0.561901925637899","0","2.71491984199167",""
"3276","16121","548351","3035227","Austin Bank, Texas National Association","Jacksonville","TX","75766","6/30/2019","11/18/2019","N","200 East Commerce Street","JSA FAMILY LIMITED PARTNERSHIP","33","0","0","4","0","Cherokee","","","10/1/1900","1/1/1934","10/9/2010","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.austinbank.com","0.134151842955439","-1.35680480007387E-02","0","-2.52801509080551E-02","0","-7.3141185344335E-03","0","-7.50675602177307E-03","0.874896064414756","0.335110609849121","","0.335110609849121","0.343364762109535","0.330934061388268","0"
"58082","0","3347911","0","Austin Capital Bank SSB","Austin","TX","78757","6/30/2019","11/18/2019","SB","8100 Shoal Creek Blvd.","","11","0","1","5","0","Travis","12420","Austin-Round Rock, TX","1/9/2006","1/9/2006","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","0","0","0","0","0","0","","0","0","0","","0","","0",""
"58484","0","3463875","4230216","Austin County State Bank","Bellville","TX","77418","6/30/2019","11/18/2019","NM","436 South Front Street","AUSTIN COUNTY BANCSHARES, INC.","4","0","0","4","1","Austin","26420","Houston-The Woodlands-Sugar Land, TX","6/26/2007","6/26/2007","7/23/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","-1.71681674363299E-02","0","0","0","0","0","","0","-0.128012202931682","0.834364700810724","","0.834364700810724","0","1.09135224606355",""
"35115","15850","2860459","4265508","Auto Club Trust, FSB","Dearborn","MI","48126","6/30/2019","11/18/2019","SA","One Auto Club Drive","AUTO CLUB GROUP, THE","1","0","0","5","0","Wayne","19820","Detroit-Warren-Dearborn, MI","11/30/1999","11/30/1999","7/21/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.aaa.com/banking","8.31927381119627E-02","5.33151658943595E-02","","","","5.33151658943595E-02","0.177231641755775","0","","0.14768074108881","","0.14768074108881","0.126978422422004","6.78321462707736",""
"11771","0","859141","1203451","Availa Bank","Carroll","IA","51401","6/30/2019","11/18/2019","NM","126 West 6th","CARROLL COUNTY BANCSHARES, INC.","17","0","0","2","0","Carroll","","","1/1/1870","1/1/1934","6/23/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.availa.bank","5.01122122974986E-03","4.72825165589874E-04","0","-6.93459875891486E-03","0","0","0","0","-8.02564675677596E-03","7.03565140457986E-02","","7.03565140457986E-02","0.116369391358991","0",""
"2326","52136","262059","1057980","AVB Bank","Broken Arrow","OK","74012","6/30/2019","11/18/2019","NM","322 South Main Street","ARKANSAS VALLEY BANCSHARES, INC.","4","0","0","4","0","Tulsa","46140","Tulsa, OK","2/16/1905","1/1/1934","9/19/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","-6.5146013225227E-03","-8.87282817364931E-03","-1.14059778159434E-02","0","0","-2.00595098793086E-02","0","-2.07531861617293E-02","0","9.90751336275865E-02","2.99985000749963","0","0","0",""
