cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"5814","0","760649","5085664","Audubon State Bank","Audubon","IA","50025","6/30/2019","11/18/2019","NM","315 Broadway","AUDUBON COUNTY INVESTMENT COMPANY","2","0","0","2","1","Audubon","","","1/1/1876","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.audubonstatebank.com","63906","3566","3602","142","30671","34367","59","278","1","","","11280"
"3276","16121","548351","3035227","Austin Bank, Texas National Association","Jacksonville","TX","75766","6/30/2019","11/18/2019","N","200 East Commerce Street","JSA FAMILY LIMITED PARTNERSHIP","33","0","0","4","0","Cherokee","","","10/1/1900","1/1/1934","10/9/2010","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.austinbank.com","1033110","112580","32328","1399","204872","435972","708","3031","8","","","55345"
"58082","0","3347911","0","Austin Capital Bank SSB","Austin","TX","78757","6/30/2019","11/18/2019","SB","8100 Shoal Creek Blvd.","","11","0","1","5","0","Travis","12420","Austin-Round Rock, TX","1/9/2006","1/9/2006","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","54315","3698","0","0","35962","31864","50","0","0","","","3394"
"58484","0","3463875","4230216","Austin County State Bank","Bellville","TX","77418","6/30/2019","11/18/2019","NM","436 South Front Street","AUSTIN COUNTY BANCSHARES, INC.","4","0","0","4","1","Austin","26420","Houston-The Woodlands-Sugar Land, TX","6/26/2007","6/26/2007","7/23/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","80847","5194","3237","134","39426","73370","124","0","0","","","31698"
"35115","15850","2860459","4265508","Auto Club Trust, FSB","Dearborn","MI","48126","6/30/2019","11/18/2019","SA","One Auto Club Drive","AUTO CLUB GROUP, THE","1","0","0","5","0","Wayne","19820","Detroit-Warren-Dearborn, MI","11/30/1999","11/30/1999","7/21/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.aaa.com/banking","300976","12029","22663","697","260227","79828","126","1511","5","","","35419"
"11771","0","859141","1203451","Availa Bank","Carroll","IA","51401","6/30/2019","11/18/2019","NM","126 West 6th","CARROLL COUNTY BANCSHARES, INC.","17","0","0","2","0","Carroll","","","1/1/1870","1/1/1934","6/23/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.availa.bank","539826","32167","19145","727","218944","317038","460","3570","5","","","41748"
"2326","52136","262059","1057980","AVB Bank","Broken Arrow","OK","74012","6/30/2019","11/18/2019","NM","322 South Main Street","ARKANSAS VALLEY BANCSHARES, INC.","4","0","0","4","0","Tulsa","46140","Tulsa, OK","2/16/1905","1/1/1934","9/19/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","179848","8406","7408","260","75268","144214","158","1601","5","","","22435"
"57510","0","3214059","3680980","Avidbank","San Jose","CA","95112","6/30/2019","11/18/2019","NM","1732 N 1st St. 6th Floor","AVIDBANK HOLDINGS, INC.","2","0","0","4","0","Santa Clara","41940","San Jose-Sunnyvale-Santa Clara, CA","10/1/2003","10/1/2003","11/13/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","https://www.avidbank.com","119010","2540","0","0","23531","718381","491","0","0","","","127421"
"90215","10957","619701","2465528","Avidia Bank","Hudson","MA","1749","6/30/2019","11/18/2019","SB","42 Main Street","ASSABET VALLEY BANCORP","10","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","2/26/1869","11/27/1985","12/31/2009","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.avidiabank.com","902821","317141","36529","2047","149736","407113","577","2662","7","","","62115"
"31390","6859","408875","3837962","Axiom Bank, National Association","Maitland","FL","32751","6/30/2019","11/18/2019","N","258 Southhall Lane","AXIOM BANCSHARES, INC.","22","0","0","4","0","Orange","36740","Orlando-Kissimmee-Sanford, FL","1/1/1962","3/26/1963","8/4/2017","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","277261","675137","19514","592","251356","212110","214","1074","4","","","61162"
